"ID","DOY","LAT","LONG","MIN","QGIS_ID"
"5/37.5","1","37.5","5","Min","112"
"5/40","1","40","5","Min","193"
"5/42.5","1","42.5","5","Min","274"
"5/45","84","45","5","Min","355"
"5/47.5","88","47.5","5","Min","436"
"5/50","91","50","5","Min","517"
"5/52.5","105","52.5","5","Min","598"
"5/55","120","55","5","Min","679"
"7.5/35","1","35","7.5","Min","36"
"7.5/37.5","1","37.5","7.5","Min","117"
"7.5/40","1","40","7.5","Min","198"
"7.5/42.5","1","42.5","7.5","Min","279"
"7.5/45","90","45","7.5","Min","360"
"7.5/47.5","88","47.5","7.5","Min","441"
"7.5/50","97","50","7.5","Min","522"
"7.5/52.5","107","52.5","7.5","Min","603"
"7.5/55","120","55","7.5","Min","684"
"10/35","1","35","10","Min","41"
"10/37.5","1","37.5","10","Min","122"
"10/40","1","40","10","Min","203"
"10/42.5","1","42.5","10","Min","284"
"10/45","85","45","10","Min","365"
"10/47.5","106","47.5","10","Min","446"
"10/50","99","50","10","Min","527"
"10/52.5","119","52.5","10","Min","608"
"10/55","122","55","10","Min","689"
"12.5/35","1","35","12.5","Min","46"
"12.5/37.5","1","37.5","12.5","Min","127"
"12.5/40","1","40","12.5","Min","208"
"12.5/42.5","1","42.5","12.5","Min","289"
"12.5/45","80","45","12.5","Min","370"
"12.5/47.5","119","47.5","12.5","Min","451"
"12.5/50","118","50","12.5","Min","532"
"12.5/52.5","121","52.5","12.5","Min","613"
"12.5/55","176","55","12.5","Min","694"
"15/35","1","35","15","Min","51"
"15/37.5","1","37.5","15","Min","132"
"15/40","1","40","15","Min","213"
"15/42.5","1","42.5","15","Min","294"
"15/45","89","45","15","Min","375"
"15/47.5","108","47.5","15","Min","456"
"15/50","113","50","15","Min","537"
"15/52.5","131","52.5","15","Min","618"
"15/55","182","55","15","Min","699"
"17.5/35","1","35","17.5","Min","56"
"17.5/37.5","1","37.5","17.5","Min","137"
"17.5/40","1","40","17.5","Min","218"
"17.5/42.5","1","42.5","17.5","Min","299"
"17.5/45","89","45","17.5","Min","380"
"17.5/47.5","94","47.5","17.5","Min","461"
"17.5/50","118","50","17.5","Min","542"
"17.5/52.5","154","52.5","17.5","Min","623"
"17.5/55","186","55","17.5","Min","704"
"20/35","1","35","20","Min","61"
"20/37.5","1","37.5","20","Min","142"
"20/40","1","40","20","Min","223"
"20/42.5","89","42.5","20","Min","304"
"20/45","89","45","20","Min","385"
"20/47.5","94","47.5","20","Min","466"
"20/50","117","50","20","Min","547"
"20/52.5","154","52.5","20","Min","628"
"20/55","179","55","20","Min","709"
"22.5/35","1","35","22.5","Min","66"
"22.5/37.5","1","37.5","22.5","Min","147"
"22.5/40","1","40","22.5","Min","228"
"22.5/42.5","89","42.5","22.5","Min","309"
"22.5/45","91","45","22.5","Min","390"
"22.5/47.5","90","47.5","22.5","Min","471"
"22.5/50","117","50","22.5","Min","552"
"22.5/52.5","136","52.5","22.5","Min","633"
"22.5/55","178","55","22.5","Min","714"
"25/35","1","35","25","Min","71"
"25/37.5","1","37.5","25","Min","152"
"25/40","1","40","25","Min","233"
"25/42.5","86","42.5","25","Min","314"
"25/45","99","45","25","Min","395"
"25/47.5","117","47.5","25","Min","476"
"25/50","119","50","25","Min","557"
"25/52.5","136","52.5","25","Min","638"
"25/55","165","55","25","Min","719"
"27.5/35","1","35","27.5","Min","76"
"27.5/37.5","1","37.5","27.5","Min","157"
"27.5/40","1","40","27.5","Min","238"
"27.5/42.5","62","42.5","27.5","Min","319"
"27.5/45","91","45","27.5","Min","400"
"27.5/47.5","108","47.5","27.5","Min","481"
"27.5/50","120","50","27.5","Min","562"
"27.5/52.5","131","52.5","27.5","Min","643"
"27.5/55","165","55","27.5","Min","724"
"30/35","1","35","30","Min","81"
"30/37.5","1","37.5","30","Min","162"
"30/40","60","40","30","Min","243"
"30/42.5","1","42.5","30","Min","324"
"30/45","89","45","30","Min","405"
"30/47.5","108","47.5","30","Min","486"
"30/50","120","50","30","Min","567"
"30/52.5","128","52.5","30","Min","648"
"30/55","177","55","30","Min","729"
